video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=w8FLM6HMarc&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@Juicesandberries,Juicesandberries,"Why I Moved from LA to Seattle (Moving tips, how I like it so far)",43K,2 years,0:00 Why I left Los Angeles 2:28 Why I chose Seattle 3:38 How I found my apartment 4:54 How I like it so far FOLLOW ME: ...,2024-01-26 21:39:19.279186
/watch?v=7ka1rd-wJ0o&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@monicachurchrealtor,Monica Church Seattle Real Estate,The 5 Most Popular Seattle Neighborhoods To Live In (explained by a local),55K,7 months,"In today's video, I am breaking down the top 5 most popular neighborhoods in Seattle to live in. There are SO many great ...",2024-01-26 21:39:19.282146
/watch?v=cfjfn76HxkU&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@EmilyCressey-LivingInSeattleWA,"Emily Cressey - Living In Seattle, Washington","Relocating To Seattle, WA - What To Expect When you Come From Out Of State",200,2 months,"If you're thinking of moving to Seattle, Washington from out-of-state, you're not going to want to miss this video interview with Emily ...",2024-01-26 21:39:19.285074
/watch?v=ELcOzunlmnk&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Seattle's Most Walkable Neighborhoods,3.1K,6 months,Seattle's Most Walkable Neighborhoods - Are you thinking about living in Seattle and want a walkable neighborhood? Make sure ...,2024-01-26 21:39:19.291708
/watch?v=1eWiA-c_ymQ&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@Chris_jae,Chris Jae,What You Should Know Before Moving To Seattle,5.6K,2 years,"This is an updated ""things I wish I knew before moving to Seattle"" type video. It gives some heads up and provides some ...",2024-01-26 21:39:19.294610
/watch?v=-l_oBlWbPEE&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@ShelbyChurch,Shelby Church,"Living On 980K A Year in Seattle, WA | Millennial Money",290K,10 months,Vlog Channel: https://www.youtube.com/user/othershelby Instagram: https://www.instagram.com/shelbychurch/ Twitter: ...,2024-01-26 21:39:19.297857
/watch?v=c9YR1wMftrY&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@shelbychurchvlogs,Shelby Church Vlogs,why I regret moving to Seattle...,86K,1 year,And also because I miss Sam shop my merch: https://racquetclubresort.com/ everything I purchased for the Airbnb: ...,2024-01-26 21:39:19.300718
/watch?v=Ekol9czXwik&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,5 Things You Should Know Before Moving To Seattle (Things They DON'T Tell You),1.8K,5 months,5 Things You Should Know Before Moving To Seattle (Things They Don't Tell You) Have you thought about moving to Seattle or ...,2024-01-26 21:39:19.308314
/watch?v=_5oEULjGWjY&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@TravelMaptv,TravelMap,Living in Seattle - 10 Things To Know Before Moving To Seattle Washington,19K,1 year,Are you thinking about moving to Seattle? It's now the fastest growing major city in the U.S. with a population of more than 700000 ...,2024-01-26 21:39:19.312331
/watch?v=Q8TzOAnDWEI&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,"If You're Moving To Seattle Washington, You Should Know THIS First",1.3K,6 months,Moving to the Seattle area? Feel free to schedule a free 30 minute consultation call with Bryce to talk about your move to the ...,2024-01-26 21:39:19.315989
/watch?v=_aKU8aTIbgU&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@krystalqin,Krystal Qin,"MOVING VLOG ep. 2 | flying to seattle, apt first glance, building furniture & exploring the city",31K,2 years,"welcome to ep. 2 of my move in series!! come along as I fly across the country to seattle, finally see my new apartment, build new ...",2024-01-26 21:39:19.323729
/watch?v=cKZB-nncl3U&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@StaticCamperVan,Static CamperVan,I Moved Back to Seattle,5.4K,4 years,"vanlife #vlog #REI My Channel Stickers are now available for purchase through PayPal. If you would like to purchase them, ...",2024-01-26 21:39:19.327416
/watch?v=DR4VNWWajes&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Moving From California To Seattle Washington | 7 Things You Must Know,12K,2 years,"Moving From California To Seattle Washington | 7 Things You Must Know If you're planning on moving to Seattle, or the greater ...",2024-01-26 21:39:19.331668
/watch?v=OjhE4_h3I5c&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Avoid Moving To Seattle - Unless you can deal with these 10 things,42K,2 years,"Avoid Moving To Seattle - Unless you can deal with these 10 things - The Seattle metro area can be an amazing place to live, but ...",2024-01-26 21:39:19.335826
/watch?v=01X0IdwJff4&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@HershNoeieBlasianLife,HershNoeie,Don't move to Seattle if...,21K,5 years,"Sometimes folks will tell me Seattle is a horrible place to live, and that I only talk about the best things of the city. We know that isn't ...",2024-01-26 21:39:27.758780
/watch?v=tns6eMTv3fQ&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@lifeofyelly,Life of Yelly,"So, you want to move to #Seattle? What I wish I knew before moving...",16K,4 years,Hey everyone! These are my top 6 or 7 things I wish I had known about Seattle before moving here. Like I state in the video this ...,2024-01-26 21:39:27.762651
/watch?v=Hv0qQFwQCCA&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattlewashington206,Living in Seattle Washington ,9 REASONS NOT TO MOVE TO SEATTLE WASHINGTON | Living In Seattle Washington | Moving To Seattle WA,7.9K,8 months,Are you thinking about moving to Seattle Washington? Let's explore the 9 reasons not to move to Seattle Washington today!,2024-01-26 21:39:27.764644
/watch?v=sOGU0jgZKjg&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@chelseakaywright,Chelsea Kay Wright,"things you should know about before moving to Seattle| the good, the bad and the ugly, Q&A",302,2 months,"Whether you're moving here for a summer or making the next step, here's you're guide to living in Seattle and what life here has ...",2024-01-26 21:39:27.766609
/watch?v=hdN8xRFMQQ0&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@AlexOropel,Alex Oropel,Moving to Seattle,5.2K,2 years,Instagram: @alexoropel Subscribe to the channel: https://www.youtube.com/channel/UCOUyQA4aNPQEKM_qnUwArGg .,2024-01-26 21:39:27.767844
/watch?v=9yxjgv4ehJc&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@FromHeretoThere,From Here to There,"Top 10 Reasons NOT to Move to Seattle, Washington",739K,4 years,"The Top 10 reasons You Should NOT move to Seattle, Washington and the worst things you NEED to know about moving to ...",2024-01-26 21:39:27.769171
